pair,year,a,b,c,d,label
BIMEKIZUMAB|SKIN TEXTURE ABNORMAL,2025,0,463,14,1558652,0
"BIMEKIZUMAB|SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",2024,4,142,1823,450269,0
"BIMEKIZUMAB|SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",2025,0,463,2670,1555996,0
BIMEKIZUMAB|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2024,4,142,3653,448439,0
BIMEKIZUMAB|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2025,2,461,3445,1555221,0
BIMEKIZUMAB|WEIGHT INCREASED,2024,4,142,3433,448659,0
BIMEKIZUMAB|WEIGHT INCREASED,2025,0,463,8246,1550420,0
BIMEKIZUMAB|WOUND SECRETION,2024,6,140,1,452091,0
BIMEKIZUMAB|WOUND SECRETION,2025,0,463,9,1558657,0
BIMZELX|ACNE,2024,5,401,88,451744,1
BIMZELX|ACNE,2025,11,1148,258,1557712,1
BIMZELX|ADVERSE DRUG REACTION,2024,7,399,596,451236,1
BIMZELX|ADVERSE DRUG REACTION,2025,7,1152,1075,1556895,1
BIMZELX|CANDIDA INFECTION,2024,7,399,361,451471,1
BIMZELX|CANDIDA INFECTION,2025,10,1149,1074,1556896,1
BIMZELX|DEVICE DEFECTIVE,2024,3,403,125,451707,0
BIMZELX|DEVICE DEFECTIVE,2025,0,1159,120,1557850,0
BIMZELX|DEVICE ISSUE,2024,5,401,24,451808,1
BIMZELX|DEVICE ISSUE,2025,15,1144,745,1557225,1
BIMZELX|DRUG INEFFECTIVE,2024,26,380,4808,447024,1
BIMZELX|DRUG INEFFECTIVE,2025,45,1114,17822,1540148,1
BIMZELX|DRY SKIN,2024,3,403,367,451465,0
BIMZELX|DRY SKIN,2025,2,1157,1120,1556850,0
BIMZELX|DYSPHAGIA,2024,3,403,253,451579,0
BIMZELX|DYSPHAGIA,2025,2,1157,1404,1556566,0
BIMZELX|FEELING ABNORMAL,2024,3,403,335,451497,0
BIMZELX|FEELING ABNORMAL,2025,2,1157,1641,1556329,0
BIMZELX|FUNGAL INFECTION,2024,4,402,131,451701,1
BIMZELX|FUNGAL INFECTION,2025,9,1150,266,1557704,1
BIMZELX|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,18,388,1692,450140,1
BIMZELX|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,24,1135,4450,1553520,1
BIMZELX|INCORRECT DOSE ADMINISTERED,2024,9,397,273,451559,1
BIMZELX|INCORRECT DOSE ADMINISTERED,2025,22,1137,1515,1556455,1
BIMZELX|INJECTION SITE PAIN,2024,14,392,408,451424,1
BIMZELX|INJECTION SITE PAIN,2025,31,1128,1889,1556081,1
BIMZELX|INJECTION SITE RASH,2024,4,402,49,451783,1
BIMZELX|INJECTION SITE RASH,2025,4,1155,227,1557743,1
BIMZELX|INSURANCE ISSUE,2024,8,398,155,451677,1
BIMZELX|INSURANCE ISSUE,2025,11,1148,364,1557606,1
BIMZELX|MYALGIA,2024,3,403,321,451511,0
BIMZELX|MYALGIA,2025,3,1156,2016,1555954,0
BIMZELX|NO ADVERSE EVENT,2024,6,400,45,451787,1
BIMZELX|NO ADVERSE EVENT,2025,18,1141,811,1557159,1
BIMZELX|OFF LABEL USE,2024,26,380,6541,445291,1
BIMZELX|OFF LABEL USE,2025,52,1107,27892,1530078,1
BIMZELX|ORAL CANDIDIASIS,2024,3,403,132,451700,1
BIMZELX|ORAL CANDIDIASIS,2025,12,1147,452,1557518,1
BIMZELX|PHARYNGITIS STREPTOCOCCAL,2024,3,403,125,451707,0
BIMZELX|PHARYNGITIS STREPTOCOCCAL,2025,2,1157,39,1557931,0
BIMZELX|PRODUCT AVAILABILITY ISSUE,2024,27,379,80,451752,1
BIMZELX|PRODUCT AVAILABILITY ISSUE,2025,27,1132,238,1557732,1
BIMZELX|PRODUCT DOSE OMISSION ISSUE,2024,29,377,1175,450657,1
BIMZELX|PRODUCT DOSE OMISSION ISSUE,2025,106,1053,4920,1553050,1
BIMZELX|PRODUCT PRESCRIBING ISSUE,2024,3,403,141,451691,0
BIMZELX|PRODUCT PRESCRIBING ISSUE,2025,2,1157,357,1557613,0
BIMZELX|PRODUCT STORAGE ERROR,2024,4,402,69,451763,1
BIMZELX|PRODUCT STORAGE ERROR,2025,3,1156,371,1557599,1
BIMZELX|PRODUCT USE ISSUE,2024,6,400,2308,449524,0
BIMZELX|PRODUCT USE ISSUE,2025,7,1152,7805,1550165,0
BIMZELX|PSORIASIS,2024,31,375,1284,450548,1
BIMZELX|PSORIASIS,2025,68,1091,2707,1555263,1
BIMZELX|SKIN DISCOLOURATION,2024,3,403,176,451656,0
BIMZELX|SKIN DISCOLOURATION,2025,0,1159,366,1557604,0
BIMZELX|STAPHYLOCOCCAL INFECTION,2024,3,403,41,451791,0
BIMZELX|STAPHYLOCOCCAL INFECTION,2025,1,1158,653,1557317,0
BIMZELX|SYMPTOM RECURRENCE,2024,3,403,18,451814,0
BIMZELX|SYMPTOM RECURRENCE,2025,0,1159,141,1557829,0
BIMZELX|THERAPEUTIC RESPONSE SHORTENED,2024,3,403,303,451529,1
BIMZELX|THERAPEUTIC RESPONSE SHORTENED,2025,4,1155,733,1557237,1
BIMZELX|THERAPY INTERRUPTED,2024,16,390,180,451652,1
BIMZELX|THERAPY INTERRUPTED,2025,17,1142,1057,1556913,1
BIO-THREE|ABDOMINAL DISTENSION,2024,4,38,1206,450990,0
BIO-THREE|ABDOMINAL DISTENSION,2025,0,2,2982,1556145,0
BIO-THREE|VOMITING,2024,4,38,3179,449017,0
BIO-THREE|VOMITING,2025,0,2,12694,1546433,0
BIOTIN|BACK PAIN,2024,3,151,890,451194,0
BIOTIN|BACK PAIN,2025,3,699,3412,1555015,0
BIOTIN|CHEST DISCOMFORT,2024,3,151,342,451742,1
BIOTIN|CHEST DISCOMFORT,2025,8,694,1705,1556722,1
BIOTIN|COUGH,2024,4,150,1533,450551,1
BIOTIN|COUGH,2025,9,693,5659,1552768,1
BIOTIN|DYSPNOEA,2024,3,151,2667,449417,0
BIOTIN|DYSPNOEA,2025,10,692,12944,1545483,0
BIOTIN|DYSPNOEA EXERTIONAL,2024,3,151,400,451684,1
BIOTIN|DYSPNOEA EXERTIONAL,2025,8,694,891,1557536,1
BIOTIN|MUSCLE SPASMS,2024,3,151,1800,450284,1
BIOTIN|MUSCLE SPASMS,2025,7,695,4945,1553482,1
BIOTIN|NASOPHARYNGITIS,2024,3,151,2343,449741,1
BIOTIN|NASOPHARYNGITIS,2025,9,693,8234,1550193,1
BIOTIN|VOMITING,2024,4,150,3179,448905,0
BIOTIN|VOMITING,2025,4,698,12690,1545737,0
BISACODYL|ABDOMINAL PAIN,2024,3,101,865,451269,0
BISACODYL|ABDOMINAL PAIN,2025,5,922,5631,1552571,0
BISACODYL|CONSTIPATION,2024,3,101,750,451384,1
BISACODYL|CONSTIPATION,2025,21,906,4919,1553283,1
BISACODYL|ERYTHEMA,2024,3,101,505,451629,0
BISACODYL|ERYTHEMA,2025,1,926,1876,1556326,0
BISACODYL|FEMALE GENITAL TRACT FISTULA,2024,3,101,149,451985,0
BISACODYL|FEMALE GENITAL TRACT FISTULA,2025,1,926,76,1558126,0
BISOPROLOL|ANAPHYLACTIC REACTION,2024,8,162,84,451984,0
BISOPROLOL|ANAPHYLACTIC REACTION,2025,0,1537,739,1556853,0
BISOPROLOL|ATRIAL FIBRILLATION,2024,4,166,323,451745,1
BISOPROLOL|ATRIAL FIBRILLATION,2025,8,1529,1028,1556564,1
BISOPROLOL|BRAIN NATRIURETIC PEPTIDE INCREASED,2024,3,167,110,451958,0
BISOPROLOL|BRAIN NATRIURETIC PEPTIDE INCREASED,2025,1,1536,105,1557487,0
BISOPROLOL|CARDIAC DISORDER,2024,4,166,223,451845,1
BISOPROLOL|CARDIAC DISORDER,2025,3,1534,574,1557018,1
BISOPROLOL|CHEST DISCOMFORT,2024,3,167,342,451726,1
BISOPROLOL|CHEST DISCOMFORT,2025,6,1531,1707,1555885,1
BISOPROLOL|CORONARY ARTERY DISEASE,2024,3,167,152,451916,0
BISOPROLOL|CORONARY ARTERY DISEASE,2025,1,1536,817,1556775,0
BISOPROLOL|COUGH,2024,3,167,1534,450534,0
BISOPROLOL|COUGH,2025,11,1526,5657,1551935,0
BISOPROLOL|DYSPHONIA,2024,3,167,311,451757,0
BISOPROLOL|DYSPHONIA,2025,2,1535,1362,1556230,0
BISOPROLOL|DYSPNOEA,2024,4,166,2666,449402,0
BISOPROLOL|DYSPNOEA,2025,17,1520,12937,1544655,0
BISOPROLOL|DYSPNOEA EXERTIONAL,2024,3,167,400,451668,0
BISOPROLOL|DYSPNOEA EXERTIONAL,2025,2,1535,897,1556695,0
BISOPROLOL|EOSINOPHILIA,2024,3,167,115,451953,0
BISOPROLOL|EOSINOPHILIA,2025,1,1536,260,1557332,0
BISOPROLOL|EXOSTOSIS,2024,3,167,1162,450906,0
BISOPROLOL|EXOSTOSIS,2025,1,1536,2807,1554785,0
BISOPROLOL|FRACTIONAL EXHALED NITRIC OXIDE INCREASED,2024,3,167,100,451968,0
BISOPROLOL|FRACTIONAL EXHALED NITRIC OXIDE INCREASED,2025,1,1536,95,1557497,0
BISOPROLOL|MUSCLE SPASMS,2024,3,167,1800,450268,0
BISOPROLOL|MUSCLE SPASMS,2025,2,1535,4950,1552642,0
BISOPROLOL|MYOGLOBIN BLOOD INCREASED,2024,3,167,100,451968,0
BISOPROLOL|MYOGLOBIN BLOOD INCREASED,2025,1,1536,99,1557493,0
BISOPROLOL|NASOPHARYNGITIS,2024,3,167,2343,449725,0
BISOPROLOL|NASOPHARYNGITIS,2025,8,1529,8235,1549357,0
BISOPROLOL|OBSTRUCTIVE AIRWAYS DISORDER,2024,3,167,295,451773,0
BISOPROLOL|OBSTRUCTIVE AIRWAYS DISORDER,2025,1,1536,1194,1556398,0
BISOPROLOL|OBSTRUCTIVE SLEEP APNOEA SYNDROME,2024,3,167,125,451943,0
BISOPROLOL|OBSTRUCTIVE SLEEP APNOEA SYNDROME,2025,1,1536,123,1557469,0
BISOPROLOL|PLANTAR FASCIITIS,2024,3,167,142,451926,0
BISOPROLOL|PLANTAR FASCIITIS,2025,1,1536,134,1557458,0
BISOPROLOL|PNEUMOTHORAX,2024,3,167,151,451917,0
BISOPROLOL|PNEUMOTHORAX,2025,1,1536,240,1557352,0
BISOPROLOL|PRURITUS,2024,8,162,4179,447889,0
BISOPROLOL|PRURITUS,2025,9,1528,8606,1548986,0
BISOPROLOL|SECRETION DISCHARGE,2024,3,167,100,451968,0
BISOPROLOL|SECRETION DISCHARGE,2025,1,1536,421,1557171,0
BISOPROLOL|SENSATION OF FOREIGN BODY,2024,3,167,155,451913,0
BISOPROLOL|SENSATION OF FOREIGN BODY,2025,1,1536,243,1557349,0
BISOPROLOL|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2024,8,162,3649,448419,0
BISOPROLOL|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2025,2,1535,3445,1554147,0
BISOPROLOL|URTICARIA,2024,8,162,2809,449259,0
BISOPROLOL|URTICARIA,2025,4,1533,6003,1551589,0
BLEOMYCIN SULFATE|BACK PAIN,2024,6,132,887,451213,1
BLEOMYCIN SULFATE|BACK PAIN,2025,12,300,3403,1555414,1
BLEOMYCIN SULFATE|BRAIN OEDEMA,2024,6,132,252,451848,1
BLEOMYCIN SULFATE|BRAIN OEDEMA,2025,12,300,887,1557930,1
BLEOMYCIN SULFATE|C-REACTIVE PROTEIN INCREASED,2024,6,132,1310,450790,1
BLEOMYCIN SULFATE|C-REACTIVE PROTEIN INCREASED,2025,12,300,5232,1553585,1
BLEOMYCIN SULFATE|CANDIDA INFECTION,2024,6,132,362,451738,1
BLEOMYCIN SULFATE|CANDIDA INFECTION,2025,12,300,1072,1557745,1
BLEOMYCIN SULFATE|ECZEMA,2024,6,132,519,451581,1
BLEOMYCIN SULFATE|ECZEMA,2025,12,300,1522,1557295,1
BLEOMYCIN SULFATE|FATIGUE,2024,6,132,4299,447801,1
BLEOMYCIN SULFATE|FATIGUE,2025,12,300,15619,1543198,1
BLEOMYCIN SULFATE|METASTASES TO CENTRAL NERVOUS SYSTEM,2024,6,132,245,451855,1
BLEOMYCIN SULFATE|METASTASES TO CENTRAL NERVOUS SYSTEM,2025,12,300,863,1557954,1
BLEOMYCIN SULFATE|METASTASES TO LYMPH NODES,2024,6,132,231,451869,1
BLEOMYCIN SULFATE|METASTASES TO LYMPH NODES,2025,12,300,994,1557823,1
BLEOMYCIN SULFATE|NAIL BED INFLAMMATION,2024,6,132,268,451832,1
BLEOMYCIN SULFATE|NAIL BED INFLAMMATION,2025,12,300,796,1558021,1
BLEOMYCIN SULFATE|NASAL MUCOSAL DISORDER,2024,6,132,228,451872,1
BLEOMYCIN SULFATE|NASAL MUCOSAL DISORDER,2025,12,300,790,1558027,1
BLEOMYCIN SULFATE|NAUSEA,2024,6,132,3681,448419,1
BLEOMYCIN SULFATE|NAUSEA,2025,12,300,15011,1543806,1
BLEOMYCIN SULFATE|OFF LABEL USE,2024,6,132,6561,445539,1
BLEOMYCIN SULFATE|OFF LABEL USE,2025,12,300,27932,1530885,1
BLEOMYCIN SULFATE|PARONYCHIA,2024,6,132,237,451863,1
BLEOMYCIN SULFATE|PARONYCHIA,2025,12,300,837,1557980,1
BLEOMYCIN SULFATE|PLEURAL EFFUSION,2024,6,132,725,451375,1
BLEOMYCIN SULFATE|PLEURAL EFFUSION,2025,12,300,2178,1556639,1
BLEOMYCIN SULFATE|PSEUDOMONAL SEPSIS,2024,6,132,228,451872,1
BLEOMYCIN SULFATE|PSEUDOMONAL SEPSIS,2025,12,300,817,1558000,1
BLEOMYCIN SULFATE|RESTLESSNESS,2024,6,132,322,451778,1
BLEOMYCIN SULFATE|RESTLESSNESS,2025,12,300,1315,1557502,1
BLEOMYCIN SULFATE|SEPSIS,2024,6,132,429,451671,1
BLEOMYCIN SULFATE|SEPSIS,2025,12,300,3474,1555343,1
BLEOMYCIN SULFATE|SKIN FISSURES,2024,6,132,280,451820,1
BLEOMYCIN SULFATE|SKIN FISSURES,2025,12,300,924,1557893,1
BLEOMYCIN SULFATE|STREPTOCOCCAL SEPSIS,2024,6,132,228,451872,1
BLEOMYCIN SULFATE|STREPTOCOCCAL SEPSIS,2025,12,300,819,1557998,1
BLEOMYCIN SULFATE|VARICOSE VEIN,2024,6,132,240,451860,1
BLEOMYCIN SULFATE|VARICOSE VEIN,2025,12,300,849,1557968,1
BLEOMYCIN SULFATE|VASCULAR DEVICE INFECTION,2024,12,126,538,451562,1
BLEOMYCIN SULFATE|VASCULAR DEVICE INFECTION,2025,12,300,920,1557897,1
BLEOMYCIN SULFATE|VOMITING,2024,6,132,3177,448923,1
BLEOMYCIN SULFATE|VOMITING,2025,12,300,12682,1546135,1
BOSULIF|DIARRHOEA,2024,3,36,3042,449157,0
BOSULIF|DIARRHOEA,2025,0,39,13298,1545792,0
BOSULIF|FLATULENCE,2024,7,32,136,452063,0
BOSULIF|FLATULENCE,2025,0,39,796,1558294,0
BOSULIF|OFF LABEL USE,2024,3,36,6564,445635,1
BOSULIF|OFF LABEL USE,2025,9,30,27935,1531155,1
BOSULIF|PNEUMONIA,2024,5,34,3021,449178,0
BOSULIF|PNEUMONIA,2025,0,39,9875,1549215,0
BOSULIF|PRODUCT PRESCRIBING ERROR,2024,7,32,18,452181,0
BOSULIF|PRODUCT PRESCRIBING ERROR,2025,0,39,304,1558786,0
BOTOX|OFF LABEL USE,2024,3,35,6564,445636,1
BOTOX|OFF LABEL USE,2025,67,945,27877,1530240,1
BRAFTOVI|COLOSTOMY,2024,3,18,3,452214,0
BRAFTOVI|COLOSTOMY,2025,0,154,14,1558961,0
BRAFTOVI|COUGH,2024,3,18,1534,450683,0
BRAFTOVI|COUGH,2025,0,154,5668,1553307,0
BRAFTOVI|HYPERSENSITIVITY,2024,3,18,2424,449793,0
BRAFTOVI|HYPERSENSITIVITY,2025,0,154,7429,1551546,0
BRAFTOVI|ILLNESS,2024,3,18,741,451476,1
BRAFTOVI|ILLNESS,2025,5,149,1901,1557074,1
BRAFTOVI|PRODUCT DOSE OMISSION IN ERROR,2024,3,18,204,452013,0
BRAFTOVI|PRODUCT DOSE OMISSION IN ERROR,2025,0,154,583,1558392,0
BRAFTOVI|URINARY TRACT INFECTION,2024,3,18,838,451379,0
BRAFTOVI|URINARY TRACT INFECTION,2025,0,154,2443,1556532,0
BRENTUXIMAB VEDOTIN|ANAEMIA,2024,3,63,915,451257,0
BRENTUXIMAB VEDOTIN|ANAEMIA,2025,0,25,3210,1555894,0
BRENTUXIMAB VEDOTIN|BLOOD POTASSIUM DECREASED,2024,3,63,122,452050,0
BRENTUXIMAB VEDOTIN|BLOOD POTASSIUM DECREASED,2025,0,25,409,1558695,0
BRENTUXIMAB VEDOTIN|BLOOD TRIGLYCERIDES INCREASED,2024,3,63,26,452146,0
BRENTUXIMAB VEDOTIN|BLOOD TRIGLYCERIDES INCREASED,2025,0,25,174,1558930,0
BRENTUXIMAB VEDOTIN|GASTRIC CANCER,2024,3,63,12,452160,0
BRENTUXIMAB VEDOTIN|GASTRIC CANCER,2025,0,25,56,1559048,0
BRENTUXIMAB VEDOTIN|NEUTROPHIL COUNT DECREASED,2024,3,63,153,452019,0
BRENTUXIMAB VEDOTIN|NEUTROPHIL COUNT DECREASED,2025,0,25,1761,1557343,0
BRENTUXIMAB VEDOTIN|PLATELET COUNT DECREASED,2024,3,63,534,451638,0
BRENTUXIMAB VEDOTIN|PLATELET COUNT DECREASED,2025,0,25,1221,1557883,0
BRENTUXIMAB VEDOTIN|PNEUMONIA,2024,3,63,3023,449149,0
BRENTUXIMAB VEDOTIN|PNEUMONIA,2025,0,25,9875,1549229,0
BRENTUXIMAB VEDOTIN|SECOND PRIMARY MALIGNANCY,2024,3,63,31,452141,0
BRENTUXIMAB VEDOTIN|SECOND PRIMARY MALIGNANCY,2025,0,25,45,1559059,0
BRENTUXIMAB VEDOTIN|WHITE BLOOD CELL COUNT DECREASED,2024,3,63,234,451938,0
BRENTUXIMAB VEDOTIN|WHITE BLOOD CELL COUNT DECREASED,2025,0,25,1903,1557201,0
BREO ELLIPTA|ASTHMA,2024,3,112,1824,450299,1
BREO ELLIPTA|ASTHMA,2025,12,978,8173,1549966,1
BREO ELLIPTA|COUGH,2024,4,111,1533,450590,1
BREO ELLIPTA|COUGH,2025,9,981,5659,1552480,1
BREO ELLIPTA|DIARRHOEA,2024,3,112,3042,449081,0
BREO ELLIPTA|DIARRHOEA,2025,7,983,13291,1544848,0
BREO ELLIPTA|PNEUMONIA,2024,3,112,3023,449100,0
BREO ELLIPTA|PNEUMONIA,2025,9,981,9866,1548273,0
BRIVIACT|SEIZURE,2024,4,24,330,451880,1
BRIVIACT|SEIZURE,2025,6,46,1279,1557798,1
BRUKINSA|BALANCE DISORDER,2024,7,70,219,451942,0
BRUKINSA|BALANCE DISORDER,2025,0,340,1673,1557116,0
BRUKINSA|CELLULITIS STAPHYLOCOCCAL,2024,7,70,62,452099,0
BRUKINSA|CELLULITIS STAPHYLOCOCCAL,2025,0,340,0,1558789,0
BRUKINSA|ENDOVENOUS ABLATION,2024,7,70,12,452149,0
BRUKINSA|ENDOVENOUS ABLATION,2025,0,340,0,1558789,0
BRUKINSA|HYPOACUSIS,2024,7,70,31,452130,0
BRUKINSA|HYPOACUSIS,2025,0,340,349,1558440,0
BRUKINSA|OFF LABEL USE,2024,7,70,6560,445601,1
BRUKINSA|OFF LABEL USE,2025,22,318,27922,1530867,1
BRUKINSA|PAIN,2024,7,70,3699,448462,0
BRUKINSA|PAIN,2025,0,340,13934,1544855,0
BRUKINSA|PERIPHERAL SWELLING,2024,7,70,2862,449299,0
BRUKINSA|PERIPHERAL SWELLING,2025,2,338,7945,1550844,0
BRUKINSA|PLANTAR FASCIITIS,2024,7,70,138,452023,0
BRUKINSA|PLANTAR FASCIITIS,2025,0,340,135,1558654,0
BRUKINSA|PLATELET COUNT DECREASED,2024,7,70,530,451631,1
BRUKINSA|PLATELET COUNT DECREASED,2025,5,335,1216,1557573,1
BRUKINSA|PNEUMONIA,2024,7,70,3019,449142,0
BRUKINSA|PNEUMONIA,2025,1,339,9874,1548915,0
BRUKINSA|TINNITUS,2024,7,70,56,452105,0
BRUKINSA|TINNITUS,2025,0,340,475,1558314,0
BUDESONIDE|ABDOMINAL DISTENSION,2024,4,445,1206,450583,0
BUDESONIDE|ABDOMINAL DISTENSION,2025,3,1303,2979,1554844,0
BUDESONIDE|ABDOMINAL PAIN,2024,5,444,863,450926,1
BUDESONIDE|ABDOMINAL PAIN,2025,12,1294,5624,1552199,1
BUDESONIDE|ANAEMIA,2024,3,446,915,450874,0
BUDESONIDE|ANAEMIA,2025,5,1301,3205,1554618,0
BUDESONIDE|ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,2024,3,446,97,451692,0
BUDESONIDE|ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,2025,2,1304,521,1557302,0
BUDESONIDE|ARTERIOSCLEROSIS,2024,3,446,98,451691,0
BUDESONIDE|ARTERIOSCLEROSIS,2025,2,1304,540,1557283,0
BUDESONIDE|ARTERIOSCLEROSIS CORONARY ARTERY,2024,3,446,148,451641,0
BUDESONIDE|ARTERIOSCLEROSIS CORONARY ARTERY,2025,2,1304,593,1557230,0
BUDESONIDE|BACK PAIN,2024,3,446,890,450899,0
BUDESONIDE|BACK PAIN,2025,4,1302,3411,1554412,0
BUDESONIDE|COLITIS ULCERATIVE,2024,4,445,668,451121,1
BUDESONIDE|COLITIS ULCERATIVE,2025,9,1297,2019,1555804,1
BUDESONIDE|CONDITION AGGRAVATED,2024,6,443,2658,449131,0
BUDESONIDE|CONDITION AGGRAVATED,2025,14,1292,12842,1544981,0
BUDESONIDE|CONJUNCTIVITIS ALLERGIC,2024,3,446,96,451693,0
BUDESONIDE|CONJUNCTIVITIS ALLERGIC,2025,2,1304,521,1557302,0
BUDESONIDE|CONSTIPATION,2024,3,446,750,451039,0
BUDESONIDE|CONSTIPATION,2025,5,1301,4935,1552888,0
BUDESONIDE|COVID-19,2024,5,444,1053,450736,0
BUDESONIDE|COVID-19,2025,3,1303,1845,1555978,0
BUDESONIDE|DEATH,2024,4,445,195,451594,0
BUDESONIDE|DEATH,2025,5,1301,4878,1552945,0
BUDESONIDE|DUST ALLERGY,2024,3,446,98,451691,0
BUDESONIDE|DUST ALLERGY,2025,2,1304,562,1557261,0
BUDESONIDE|EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,2024,3,446,135,451654,0
BUDESONIDE|EOSINOPHILIC GRANULOMATOSIS WITH POLYANGIITIS,2025,2,1304,803,1557020,0
BUDESONIDE|FONTAN PROCEDURE,2024,4,445,60,451729,0
BUDESONIDE|FONTAN PROCEDURE,2025,0,1306,0,1557823,0
BUDESONIDE|FORCED EXPIRATORY VOLUME DECREASED,2024,3,446,128,451661,0
BUDESONIDE|FORCED EXPIRATORY VOLUME DECREASED,2025,2,1304,563,1557260,0
BUDESONIDE|FREQUENT BOWEL MOVEMENTS,2024,4,445,597,451192,0
BUDESONIDE|FREQUENT BOWEL MOVEMENTS,2025,3,1303,2669,1555154,0
BUDESONIDE|FULL BLOOD COUNT ABNORMAL,2024,3,446,130,451659,1
BUDESONIDE|FULL BLOOD COUNT ABNORMAL,2025,5,1301,1341,1556482,1
BUDESONIDE|HAEMATOCHEZIA,2024,5,444,451,451338,1
BUDESONIDE|HAEMATOCHEZIA,2025,4,1302,1009,1556814,1
BUDESONIDE|HAEMOPTYSIS,2024,3,446,138,451651,1
BUDESONIDE|HAEMOPTYSIS,2025,4,1302,1055,1556768,1
BUDESONIDE|HEADACHE,2024,8,441,3545,448244,0
BUDESONIDE|HEADACHE,2025,15,1291,13540,1544283,0
BUDESONIDE|HOSPITALISATION,2024,7,442,345,451444,0
BUDESONIDE|HOSPITALISATION,2025,3,1303,2973,1554850,0
BUDESONIDE|HYPOTHYROIDISM,2024,3,446,222,451567,0
BUDESONIDE|HYPOTHYROIDISM,2025,2,1304,803,1557020,0
BUDESONIDE|HYPOXIA,2024,3,446,171,451618,1
BUDESONIDE|HYPOXIA,2025,5,1301,1168,1556655,1
BUDESONIDE|LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,2024,6,443,981,450808,1
BUDESONIDE|LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,2025,5,1301,1799,1556024,1
BUDESONIDE|MITE ALLERGY,2024,3,446,96,451693,0
BUDESONIDE|MITE ALLERGY,2025,2,1304,522,1557301,0
BUDESONIDE|MYCOTIC ALLERGY,2024,3,446,153,451636,0
BUDESONIDE|MYCOTIC ALLERGY,2025,2,1304,521,1557302,0
BUDESONIDE|NEURITIS,2024,3,446,96,451693,0
BUDESONIDE|NEURITIS,2025,2,1304,545,1557278,0
BUDESONIDE|NODULE,2024,3,446,149,451640,0
BUDESONIDE|NODULE,2025,2,1304,802,1557021,0
BUDESONIDE|NORMOCHROMIC NORMOCYTIC ANAEMIA,2024,3,446,116,451673,0
BUDESONIDE|NORMOCHROMIC NORMOCYTIC ANAEMIA,2025,2,1304,526,1557297,0
BUDESONIDE|OBSTRUCTIVE AIRWAYS DISORDER,2024,3,446,295,451494,1
BUDESONIDE|OBSTRUCTIVE AIRWAYS DISORDER,2025,6,1300,1189,1556634,1
BUDESONIDE|PAIN IN EXTREMITY,2024,6,443,2092,449697,0
BUDESONIDE|PAIN IN EXTREMITY,2025,10,1296,6697,1551126,0
BUDESONIDE|PRODUCTIVE COUGH,2024,4,445,449,451340,0
BUDESONIDE|PRODUCTIVE COUGH,2025,3,1303,1837,1555986,0
BUDESONIDE|PULMONARY ALVEOLAR HAEMORRHAGE,2024,3,446,127,451662,0
BUDESONIDE|PULMONARY ALVEOLAR HAEMORRHAGE,2025,2,1304,570,1557253,0
BUDESONIDE|PULMONARY EMBOLISM,2024,5,444,354,451435,1
BUDESONIDE|PULMONARY EMBOLISM,2025,7,1299,1829,1555994,1
BUDESONIDE|PULMONARY VASCULITIS,2024,3,446,127,451662,0
BUDESONIDE|PULMONARY VASCULITIS,2025,2,1304,529,1557294,0
BUDESONIDE|RECTAL HAEMORRHAGE,2024,4,445,559,451230,0
BUDESONIDE|RECTAL HAEMORRHAGE,2025,1,1305,1155,1556668,0
BUDESONIDE|RESPIRATORY SYMPTOM,2024,4,445,127,451662,1
BUDESONIDE|RESPIRATORY SYMPTOM,2025,4,1302,1262,1556561,1
BUDESONIDE|SKIN EXFOLIATION,2024,3,446,222,451567,0
BUDESONIDE|SKIN EXFOLIATION,2025,1,1305,1214,1556609,0
BUDESONIDE|SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION,2024,3,446,239,451550,0
BUDESONIDE|SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION,2025,3,1303,1514,1556309,0
BUDESONIDE|SOMNOLENCE,2024,3,446,396,451393,1
BUDESONIDE|SOMNOLENCE,2025,6,1300,2831,1554992,1
BUDESONIDE|SPIROMETRY ABNORMAL,2024,3,446,96,451693,0
BUDESONIDE|SPIROMETRY ABNORMAL,2025,2,1304,521,1557302,0
BUDESONIDE|STRESS FRACTURE,2024,4,445,136,451653,0
BUDESONIDE|STRESS FRACTURE,2025,0,1306,14,1557809,0
BUDESONIDE|THROMBOSIS,2024,3,446,240,451549,1
BUDESONIDE|THROMBOSIS,2025,5,1301,2000,1555823,1
BUDESONIDE|TOTAL LUNG CAPACITY ABNORMAL,2024,3,446,96,451693,0
